lucca,1000,1033,1068,1031,1000,971,1006,973,
olivier,1000,1030,990,1024,1054,1080,1041,1081,
af,1000,1030,994,990,1022,982,1020,998,
lysandre,1000,1030,1057,1053,1078,1106,1125,1146,
enzo,1000,1030,994,1030,992,1031,1063,1023,
lisandru,1000,970,942,916,954,988,952,980,
ludo,1000,970,1010,1013,974,942,974,1006,
adham,1000,970,999,1024,991,1022,989,949,
ayoub,1000,970,1005,970,944,909,876,916,
tintin,1000,966,936,939,976,949,929,900,
